,preprocessed_name,NAME,CITY_x,STATE
929,collegemountsaintvincent,COLLEGE OF MOUNT SAINT VINCENT,Bronx,NY
961,collegenewrochelle,THE COLLEGE OF NEW ROCHELLE,,NY
922,columbiauniversitycitynewyork,COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,New York,NY
965,concordiacollegenewyork,CONCORDIA COLLEGE-NEW YORK,Bronxville,NY
852,cornelluniversity,CORNELL UNIVERSITY,Ithaca,NY
917,daemencollege,DAEMEN COLLEGE,Amherst,NY
901,dominicancollegeblauvelt,DOMINICAN COLLEGE OF BLAUVELT,Orangeburg,NY
954,elmiracollege,ELMIRA COLLEGE,Elmira,NY
914,excelsiorcollege,EXCELSIOR COLLEGE,Albany,NY
844,fingerlakescommunitycollege,FINGER LAKES COMMUNITY COLLEGE,Canandaigua,NY
881,hamiltoncollege,HAMILTON COLLEGE,Clinton,NY
936,hilbertcollege,HILBERT COLLEGE,Hamburg,NY
902,houghtoncollege,HOUGHTON COLLEGE,Houghton,NY
888,ithacacollege,ITHACA COLLEGE,Ithaca,NY
863,jewishtheologicalseminaryamerica,JEWISH THEOLOGICAL SEMINARY OF AMERICA,,NY
919,juilliardschool,THE JUILLIARD SCHOOL,New York,NY
854,kingscollege,THE KING'S COLLEGE,,NY
957,lemoynecollege,LE MOYNE COLLEGE,Syracuse,NY
928,marymountmanhattancollege,MARYMOUNT MANHATTAN COLLEGE,New York,NY
